id_partida,ano_copa,data_hora,id_fase,fase_grupo,tipo_fase,id_estadio,id_time1,time1,img_time1,gols_time1,placar,gols_time2,id_time2,time2,img_time2,win_conditions,publico_partida,arbitro,assistente1,assistente2
3074,1994,26 Jun 1994 - 16:00 ,2010,Grupo A,Fase de Grupos,122,5,SUI,https://api.fifa.com/api/v3/picture/flags-sq-5/SUI,0,0-2,2,29,COL,https://api.fifa.com/api/v3/picture/flags-sq-5/COL, ,83401,MIKKELSEN Peter (DEN),CHRISTENSEN Carl-Johan Meyer (DEN),JAMES Douglas Micael (TRI)
3076,1994,27 Jun 1994 - 16:00 ,2030,Grupo C,Fase de Grupos,115,10,GER,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,3,3-2,2,14,KOR,https://api.fifa.com/api/v3/picture/flags-sq-5/KOR, ,63998,QUINIOU Joel (FRA),IVANOV Valentin (RUS),HASSAN Abdel-Magid (EGY)
3075,1994,27 Jun 1994 - 16:00 ,2030,Grupo C,Fase de Grupos,116,23,BOL,https://api.fifa.com/api/v3/picture/flags-sq-5/BOL,1,1-3,3,12,ESP,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP, ,63089,BADILLA Rodrigo (CRC),CALIX GARCIA Raimundo (HON),AL GHATTAN Yousif Abdulla (BAH)
3077,1994,28 Jun 1994 - 12:30 ,2050,Grupo E,Fase de Grupos,118,66,IRL,https://api.fifa.com/api/v3/picture/flags-sq-5/IRL,0,0-0,0,59,NOR,https://api.fifa.com/api/v3/picture/flags-sq-5/NOR, ,72404,TORRES CADENA Jose Joaquin (COL),ALVES Paulo Jorge (BRA),PARK Hae-Yong (KOR)
3080,1994,28 Jun 1994 - 16:00 ,2020,Grupo B,Fase de Grupos,117,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,1,1-1,1,6,SWE,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE, ,77217,PUHL Sandor (HUN),MARTON Sandor (HUN),MATTHYS Luc (BEL)
3078,1994,28 Jun 1994 - 12:30 ,2050,Grupo E,Fase de Grupos,121,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,1,1-1,1,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,52535,LAMOLINA Francisco Oscar (ARG),TAIBI Ernesto (ARG),BRAZZALE Eugene (AUS)
3079,1994,28 Jun 1994 - 16:00 ,2020,Grupo B,Fase de Grupos,122,16,RUS,https://api.fifa.com/api/v3/picture/flags-sq-5/RUS,6,6-1,1,26,CMR,https://api.fifa.com/api/v3/picture/flags-sq-5/CMR, ,74914,AL SHARIF Jamal (SYR),DUNSTER Gordon (AUS),DOLSTRA Jan (NED)
3081,1994,29 Jun 1994 - 12:30 ,2060,Grupo F,Fase de Grupos,120,54,MAR,https://api.fifa.com/api/v3/picture/flags-sq-5/MAR,1,1-2,2,55,NED,https://api.fifa.com/api/v3/picture/flags-sq-5/NED, ,60578,TEJADA NORIEGA Alberto (PER),ZARATE Venancio (PAR),EVERSTIG Mikael (SWE)
3082,1994,29 Jun 1994 - 12:30 ,2060,Grupo F,Fase de Grupos,121,22,BEL,https://api.fifa.com/api/v3/picture/flags-sq-5/BEL,0,0-1,1,71,KSA,https://api.fifa.com/api/v3/picture/flags-sq-5/KSA, ,52959,KRUG Hellmut (GER),BRAZZALE Eugene (AUS),TAIBI Ernesto (ARG)
3083,1994,30 Jun 1994 - 19:30 ,2040,Grupo D,Fase de Grupos,123,43,GRE,https://api.fifa.com/api/v3/picture/flags-sq-5/GRE,0,0-2,2,57,NGA,https://api.fifa.com/api/v3/picture/flags-sq-5/NGA, ,53001,MOTTRAM Leslie (SCO),PARK Hae-Yong (KOR),ALVES Paulo Jorge (BRA)
3084,1994,30 Jun 1994 - 19:30 ,2040,Grupo D,Fase de Grupos,115,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,0,0-2,2,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL, ,63998,JOUINI Neji (TUN),YLI-KARRO Tapio (FIN),RHARIB El Jilali Mohamed (MAR)
3085,1994,02 Jul 1994 - 12:00 ,9501,Oitavas de Finais,Fase de Mata-Mata,116,10,GER,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,3,3-2,2,22,BEL,https://api.fifa.com/api/v3/picture/flags-sq-5/BEL, ,60246,ROETHLISBERGER Kurt (SUI),LISTKIEWICZ Michal (POL),CHRISTENSEN Carl-Johan Meyer (DEN)
3086,1994,02 Jul 1994 - 16:30 ,9501,Oitavas de Finais,Fase de Mata-Mata,121,12,ESP,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP,3,3-0,0,5,SUI,https://api.fifa.com/api/v3/picture/flags-sq-5/SUI, ,53121,VAN DER ENDE Mario (NED),DOLSTRA Jan (NED),MARTON Sandor (HUN)
3087,1994,03 Jul 1994 - 12:00 ,9501,Oitavas de Finais,Fase de Mata-Mata,115,71,KSA,https://api.fifa.com/api/v3/picture/flags-sq-5/KSA,1,1-3,3,6,SWE,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE, ,60277,MARSIGLIA Renato (BRA),ALVES Paulo Jorge (BRA),CALIX GARCIA Raimundo (HON)
3088,1994,03 Jul 1994 - 13:30 ,9501,Oitavas de Finais,Fase de Mata-Mata,119,70,ROU,https://api.fifa.com/api/v3/picture/flags-sq-5/ROU,3,3-2,2,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG, ,90469,PAIRETTO Pierluigi (ITA),RAMICONE Domenico (ITA),MATTHYS Luc (BEL)
3089,1994,04 Jul 1994 - 12:00 ,9501,Oitavas de Finais,Fase de Mata-Mata,120,55,NED,https://api.fifa.com/api/v3/picture/flags-sq-5/NED,2,2-0,0,66,IRL,https://api.fifa.com/api/v3/picture/flags-sq-5/IRL, ,61355,MIKKELSEN Peter (DEN),DUNSTER Gordon (AUS),BRAZZALE Eugene (AUS)
3090,1994,04 Jul 1994 - 12:30 ,9501,Oitavas de Finais,Fase de Mata-Mata,122,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,1,1-0,0,13,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA, ,84147,QUINIOU Joel (FRA),PARK Hae-Yong (KOR),EVERSTIG Mikael (SWE)
